threshold,step,overlap,avg_F1,avg_Precision,avg_Recall,avg_AbsError
0.9,4,0.05,0.5,0.333,1.0,2.0
0.9,4,0.3,0.5,0.333,1.0,2.0
0.9,4,0.2,0.5,0.333,1.0,2.0
0.8,4,0.05,0.4,0.25,1.0,3.0
0.8,4,0.2,0.333,0.2,1.0,4.0
0.8,4,0.3,0.333,0.2,1.0,4.0
0.9,2,0.05,0.333,0.2,1.0,4.0
0.8,2,0.05,0.286,0.167,1.0,5.0
0.9,2,0.2,0.286,0.167,1.0,5.0
0.7,4,0.05,0.286,0.167,1.0,5.0
0.9,2,0.3,0.286,0.167,1.0,5.0
0.7,2,0.05,0.25,0.143,1.0,6.0
0.7,2,0.2,0.222,0.125,1.0,7.0
0.7,4,0.2,0.222,0.125,1.0,7.0
0.7,4,0.3,0.222,0.125,1.0,7.0
0.8,2,0.2,0.222,0.125,1.0,7.0
0.8,2,0.3,0.2,0.111,1.0,8.0
0.7,2,0.3,0.2,0.111,1.0,8.0
